OBJECTID,CSA2010,ready11,ready12,ready13,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,68.42,70.56,88.1720430107527,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,44.23,71.79,82.3529411764706,37524.9505333862,47882527.7112373
3,Belair-Edison,68.98,57.6,75.3138075313807,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,42.93,84.23,70.8502024291498,150987.70363871,176077742.748461
5,Canton,84.21,45.45,96,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,75.37,74.59,84.8708487084871,39962.5498346887,71541340.306082
7,Cherry Hill,68.25,82.14,84.7560975609756,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,68.12,73.08,84.3373493975904,21705.411630324,21022590.1303212
9,Claremont/Armistead,77.59,86.76,84.0277777777778,40104.4159801772,61243774.4204004
10,Clifton-Berea,69.38,78.05,79.0419161676647,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,43.9,70.73,69.2307692307692,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,57.5,80.85,84.7826086956522,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,40.32,64.96,58.8652482269503,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,70.37,91.3,75,21565.8593945388,20736554.4071934
15,Edmondson Village,77.78,74.47,86.9565217391304,21504.5513578719,23563061.0426838
16,Fells Point,64,50,88.6792452830189,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,70.69,75.41,79.5774647887324,36886.899781185,37200535.0297002
18,Glen-Fallstaff,61.48,67.67,66.3865546218487,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,74.03,67.86,80.9523809523809,26454.2692113378,27051213.4555493
20,Greater Govans,68.38,85.82,74.1496598639456,22982.1257150065,22698495.7172767
21,Greater Mondawmin,75.26,83.64,83.6206896551724,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,91.3,85.71,95.2380952380952,39862.7497953315,56688145.179702
23,Greater Rosemont,75,75.27,77.5316455696203,32559.0762212062,42204384.5422658
24,Greenmount East,73.48,63.96,80.2816901408451,20797.473457859,19072287.8238042
25,Hamilton,75,63.89,69.1729323308271,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,59.34,86.36,40.3225806451613,18552.4075815481,10215859.0840198
27,Harford/Echodale,78.75,82.86,81.1764705882353,40019.1854001864,65360039.1701278
28,Highlandtown,72.86,66.67,71.875,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,59.78,71.28,89.2156862745098,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,75.81,89.09,90,43415.0595477941,24995836.2620936
31,Lauraville,71.68,78.57,62.5,34419.6765281197,49665744.2382935
32,Loch Raven,61.08,73.14,78.2608695652174,29314.3346718106,44147812.3259686
33,Madison/East End,54.07,59.44,61.0062893081761,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,44.79,50.83,68,43152.6256992199,62441489.2397897
35,Midtown,58.54,73.68,72.5,25020.0969697781,23823949.929494
36,Midway/Coldstream,54.81,75.69,79.6610169491525,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,55.56,78.65,80.6818181818182,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,66.67,80.49,100,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,83.58,89.09,95,42904.2221443837,74923987.6939622
40,Northwood,69.29,69.63,78.0645161290323,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,72.19,73.03,77.2222222222222,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,76.8,75.64,70,47825.8629265765,89894372.2114828
43,Patterson Park North & East,53.51,62.93,66.3157894736842,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,66.92,79.26,81.8713450292398,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,75.17,56.67,80.9210526315789,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,56,48.65,84.2105263157895,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,69.33,70.28,83.6,20987.1433066415,23672092.8680536
48,South Baltimore,73.33,92.11,90.4761904761905,68440.0258267645,46353935.42529
49,Southeastern,68.92,89.87,93.75,102291.480547452,111251478.472831
50,Southern Park Heights,61.96,79.79,63.1578947368421,24052.2213722085,27876227.5906738
51,Southwest Baltimore,56.12,68,69.1275167785235,28355.5635813649,37766068.8367913
52,The Waverlies,64.44,74.12,78.3505154639175,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,67.27,78.11,74.0331491712707,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,64.62,82.19,94.0476190476191,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,75.78,69.7,86.2745098039216,42573.1244161893,45494092.9497963
